3152;^FRAISE;12065;^FRAISE; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3153;^GRENADINE;12070;^GRENADINE; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3153;^GRENADINE;12070;^GRENADINE; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3154;^CITRON;12063;^CITRON; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3154;^CITRON;12063;^CITRON; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3155;^CITRON AMER;12064;^CITRON AMER; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3155;^CITRON AMER;12064;^CITRON AMER; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3156;^CASSIS;12062;^CASSIS; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3156;^CASSIS;12062;^CASSIS; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3157;^ORANGE;12075;^ORANGE; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3157;^ORANGE;12075;^ORANGE; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3158;^PECHE;12079;^PECHE; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3158;^PECHE;12079;^PECHE; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3159;^FRAMBOISE;12067;^FRAMBOISE; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3159;^FRAMBOISE;12067;^FRAMBOISE; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3160;^ANIS;12060;^ANIS; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3160;^ANIS;12060;^ANIS; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3161;^ORGEAT;12076;^ORGEAT; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3161;^ORGEAT;12076;^ORGEAT; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3162;^GLACIAL;12069;^GLACIAL; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3162;^GLACIAL;12069;^GLACIAL; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3163;^PASSION;12078;^PASSION; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3163;^PASSION;12078;^PASSION; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3164;^GAMBETTA;12068;^GAMBETTA; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3164;^GAMBETTA;12068;^GAMBETTA; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3165;^PAC;12077;^PAC; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3165;^PAC;12077;^PAC; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3166;^TRANCHE CITRON;12081;^TRANCHE CITRON; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3166;^TRANCHE CITRON;12081;^TRANCHE CITRON; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3167;^TRANCHE ORANGE;12082;^TRANCHE ORANGE; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3167;^TRANCHE ORANGE;12082;^TRANCHE ORANGE; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3168;^BANANE;12061;^BANANE; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3168;^BANANE;12061;^BANANE; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3169;^KIWI;12071;^KIWI; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3169;^KIWI;12071;^KIWI; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3170;^POMME VANILLE;12080;^POMME VANILLE; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;Aide menu; ;;
3170;^POMME VANILLE;12080;^POMME VANILLE; ; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;66;28;CHOIX SIROPS -->;250;RAPPEL MENU; ;;
3004;BLEU;3004;BLEU; ; ; ; ; ; ; ;2;TVA 10%;2;TVA 10%;66;23;CUISSONS ^^^^^; ;; ;;
3005;SAIGNANT;3005;SAIGNANT; ; ; ; ; ; ; ;2;TVA 10%;2;TVA 10%;66;23;CUISSONS ^^^^^; ;; ;;
3006;ROSE;3006;ROSE; ; ; ; ; ; ; ;2;TVA 10%;2;TVA 10%;66;23;CUISSONS ^^^^^; ;; ;;
