31;BEAR MONACO;13724;BEAR MONACO;8; ; ;12;ALCOOL;20;ALCOOLS;1;TVA 20%; ; ;64;53;BIERES BOUTEILLE-->; ;; ;BEAR MONACO;
32;TORTA LIMONE;13719;Torta al Limone /por/;16; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;22;DESSERT -->; ;; ;TORTA LIMONE;
33;FOCACCIA X 2;13288;Focaccia; ; ; ;2;PLATS; ; ;2;TVA 10%;2;TVA 10%;92;20;PIZZA -->; ;; ;FOCACCIA X 2;
34;BANDOL ROSE;13721;BANDOL ROSE;80; ; ;14;VIN ROSE;22;VINS;1;TVA 20%;1;TVA 20%;64;3;PROVENCE -->; ;; ;BANDOL ROSE;
35;BAROLO;12780;BAROLO; ; ; ;7;AUTRES CUISINE; ; ;2;TVA 10%;2;TVA 10%;96;41;SAUCE ^^^^^; ;; ;BAROLO;
36;MARSALA;12781;MARSALA; ; ; ;7;AUTRES CUISINE; ; ;2;TVA 10%;2;TVA 10%;96;41;SAUCE ^^^^^; ;; ;MARSALA;
37;BALSAMIQUE;12782;BALSAMIQUE; ; ; ;7;AUTRES CUISINE; ; ;2;TVA 10%;2;TVA 10%;96;41;SAUCE ^^^^^; ;; ;BALSAMIQUE;
38;SPREMUTA LIMONE;13779;FRECH LIMONI 200ml;10; ; ;1;ENTREE; ; ;2;TVA 10%;2;TVA 10%;64;51;JUS FRUITS -->; ;; ;SPREMUTA LIMONE;
39;SPREMUTA D'ARANCIA;13780;FRECH ARANGI 200ml;12; ; ;1;ENTREE; ; ;2;TVA 10%;2;TVA 10%;64;51;JUS FRUITS -->; ;; ;SPREMUTA D'ARANCIA;
40;PERRIER;12795;PERRIER//;6; ; ;11;SS ALCOOL;17;SODAS;2;TVA 10%;2;TVA 10%;64;52;SODAS -->; ;; ;PERRIER;
41;PETIT FOUR X 2;13725;PETIT FOUR X 2; ; ; ;3;DESSERTS;14;DIVERS CUISINE;2;TVA 10%;2;TVA 10%;92;22;DESSERT -->; ;; ;PETIT FOUR X 2;
42;LOUP SALT X 2;13409;Sea Bass Salt  /2 persona/;130; ; ;2;PLATS; ; ;2;TVA 10%;2;TVA 10%;64;19;POISSONS -->; ;; ;LOUP SALT X 2;
43;LOUP VAPORE X 2;13726;Sea Bass /na paru/ 2 pers;130; ; ;2;PLATS; ; ;2;TVA 10%;2;TVA 10%;64;19;POISSONS -->; ;; ;LOUP VAPORE X 2;
44;SOLE MEUNIERE ASPERGES ;13286;Sole Meuni?re et Asperges;57; ; ;2;PLATS; ; ;2;TVA 10%;2;TVA 10%;64;19;POISSONS -->; ;; ;SOLE MEUNIERE ASPERGES  ;
45;BELLET NOIRE;13712;BELLET NOIRE;65; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;3;PROVENCE -->; ;; ;BELLET NOIRE;
46;BELLET LI VECCE;13711;BELLET LI VECCE;60; ; ;15;VIN BLANC;22;VINS;1;TVA 20%;1;TVA 20%;64;3;PROVENCE -->; ;; ;BELLET LI VECCE;
47;V.GLENFIDDICH 18;13735;V.GLENFIDDICH 18;25; ; ;12;ALCOOL;20;ALCOOLS;1;TVA 20%;1;TVA 20%;64;49;WHISKY -->; ;; ;V.GLENFIDDICH 18;
48;GELATO CIOCCOLATO;13736;GELATO CIOCCOLATO 50 gr;12; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;22;DESSERT -->; ;; ;GELATO CIOCCOLATO;
49;GELATO NOCCIOLA;13737;GELATO NOCCIOLA 50 gr;12; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;22;DESSERT -->; ;; ;GELATO NOCCIOLA;
50;GELATO VANIL;13738;GELATO VANIL 50 gr;12; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;22;DESSERT -->; ;; ;GELATO VANIL;
51;SORBETTO FRAGOLA;13739;SORBETTO FRAGOLA 50 gr;12; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;22;DESSERT -->; ;; ;SORBETTO FRAGOLA;
52;SORBETTO LIMONE;13740;SORBETTO LIMONE 50 gr;12; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;22;DESSERT -->; ;; ;SORBETTO LIMONE;
53;SORBETTO LAMPONE;13741;SORBETTO LAMPONE 50 gr;12; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;22;DESSERT -->; ;; ;SORBETTO LAMPONE;
54;SORBETTO DI PERA;13742;SORBETTO DI PERA 50 gr;12; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;22;DESSERT -->; ;; ;SORBETTO DI PERA;
55;SORBETTO BACCA;13744;SORBETTO BACCA 50 gr;12; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;22;DESSERT -->; ;; ;SORBETTO BACCA;
56;SORBETTO DI PESCHE;13745;SORBETTO DI PESCHE 50 gr;12; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;22;DESSERT -->; ;; ;SORBETTO DI PESCHE;
57;SORBETTO ARANCIA;13746;SORBETTO ARANCIA 50 gr;12; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;22;DESSERT -->; ;; ;SORBETTO ARANCIA;
58;NUITS ST GEORGES RG;13752;BT.NUITS ST GEORGES 2013;120; ; ;13;VIN ROUGE; ; ;1;TVA 20%;1;TVA 20%;64;6;BOURGOGNE  -->; ;; ;BT.NUITS ST GEORGES;
59;ECHEZEAUX;13753;ECHEZEAUX;290; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;6;BOURGOGNE  -->; ;; ;ECHEZEAUX;
60;GIN N1;13754;GIN N1;130; ; ;12;ALCOOL;20;ALCOOLS;1;TVA 20%;1;TVA 20%;64;59;BOUT GIN; ;; ;GIN N1;
61;V.GIN N1;13755;V.GIN N1;15; ; ;12;ALCOOL;20;ALCOOLS;1;TVA 20%;1;TVA 20%;64;1;GIN -->; ;; ;V.GIN N1;
62;RUINART ROSE;13767;RUINART ROSE;120; ; ;17;CHAMP ROSE;22;VINS;1;TVA 20%; ; ;64;14;CHAMPAGNE -->;14;CHAMPAGNE -->; ;RUINART ROSE;
63;THE NERO;12632;THE BREAKFAST;6; ; ;11;SS ALCOOL; ; ;2;TVA 10%;2;TVA 10%;64;56;THE/INFUSION -->; ;; ;THE NERO;
64;THE CAMOMILLE;13769;THE CAMOMILLE;6; ; ;11;SS ALCOOL; ; ;2;TVA 10%;2;TVA 10%;64;56;THE/INFUSION -->; ;; ;THE CAMOMILLE;
65;THE VERVEINE;13770;THE VERVEINE;6; ; ;11;SS ALCOOL; ; ;2;TVA 10%;2;TVA 10%;64;56;THE/INFUSION -->; ;; ;THE VERVEINE;
66;THE TILLEUL;13771;THE TILLEUL;6; ; ;11;SS ALCOOL; ; ;2;TVA 10%;2;TVA 10%;64;56;THE/INFUSION -->; ;; ;THE TILLEUL;
67;THE EARL GREY;13772;THE EARL GREY;6; ; ;11;SS ALCOOL; ; ;2;TVA 10%;2;TVA 10%;64;56;THE/INFUSION -->; ;; ;THE EARL GREY;
68;THE GUNPOWDER;13773;THE GUNPOWDER;6; ; ;11;SS ALCOOL; ; ;2;TVA 10%;2;TVA 10%;64;56;THE/INFUSION -->; ;; ;THE GUNPOWDER;
69;THE 4 FRUITS ROUGES;13774;THE 4 FRUITS ROUGES;6; ; ;11;SS ALCOOL; ; ;2;TVA 10%;2;TVA 10%;64;56;THE/INFUSION -->; ;; ;THE 4 FRUITS ROUGES;
70;THE LIMONE;13775;THE limoni;6; ; ;11;SS ALCOOL; ; ;2;TVA 10%;2;TVA 10%;64;56;THE/INFUSION -->; ;; ;THE LIMONE;
71;THE MENTA;13776;THE menta grin;6; ; ;11;SS ALCOOL; ; ;2;TVA 10%;2;TVA 10%;64;56;THE/INFUSION -->; ;; ;THE MENTA;
72;THE MENTA GREY;13777;THE menta grey;6; ; ;11;SS ALCOOL; ; ;2;TVA 10%;2;TVA 10%;64;56;THE/INFUSION -->; ;; ;THE MENTA GREY;
73;THE LATTE;13778;THE latte;6; ; ;11;SS ALCOOL; ; ;2;TVA 10%;2;TVA 10%;64;56;THE/INFUSION -->; ;; ;THE LATTE;
74;V.JAMESON;13781;V.JAMESON;15; ; ;12;ALCOOL;20;ALCOOLS;1;TVA 20%;1;TVA 20%;64;49;WHISKY -->; ;; ;V.JAMESON;
